player,dealer,ace,action
1,1,False,1
2,1,False,1
3,1,False,1
4,1,False,1
5,1,False,1
6,1,False,1
7,1,False,1
8,1,False,1
9,1,False,1
10,1,False,1
11,1,False,1
12,1,False,1
13,1,False,1
14,1,False,1
15,1,False,1
16,1,False,1
17,1,False,1
18,1,False,0
19,1,False,0
20,1,False,0
21,1,False,0
1,2,False,1
2,2,False,1
3,2,False,1
4,2,False,1
5,2,False,1
6,2,False,1
7,2,False,1
8,2,False,1
9,2,False,1
10,2,False,1
11,2,False,1
12,2,False,1
13,2,False,1
14,2,False,1
15,2,False,1
16,2,False,1
17,2,False,1
18,2,False,0
19,2,False,0
20,2,False,0
21,2,False,0
1,3,False,1
2,3,False,1
3,3,False,1
4,3,False,1
5,3,False,1
6,3,False,1
7,3,False,1
8,3,False,1
9,3,False,1
10,3,False,1
11,3,False,1
12,3,False,1
13,3,False,1
14,3,False,1
15,3,False,1
16,3,False,1
17,3,False,1
18,3,False,0
19,3,False,0
20,3,False,0
21,3,False,0
1,4,False,1
2,4,False,1
3,4,False,1
4,4,False,1
5,4,False,1
6,4,False,1
7,4,False,1
8,4,False,1
9,4,False,1
10,4,False,1
11,4,False,1
12,4,False,1
13,4,False,1
14,4,False,1
15,4,False,1
16,4,False,1
17,4,False,0
18,4,False,0
19,4,False,0
20,4,False,0
21,4,False,0
1,5,False,1
2,5,False,1
3,5,False,1
4,5,False,1
5,5,False,1
6,5,False,1
7,5,False,1
8,5,False,1
9,5,False,1
10,5,False,1
11,5,False,1
12,5,False,1
13,5,False,1
14,5,False,1
15,5,False,1
16,5,False,1
17,5,False,0
18,5,False,0
19,5,False,0
20,5,False,0
21,5,False,0
1,6,False,1
2,6,False,1
3,6,False,1
4,6,False,1
5,6,False,1
6,6,False,1
7,6,False,1
8,6,False,1
9,6,False,1
10,6,False,1
11,6,False,1
12,6,False,1
13,6,False,1
14,6,False,1
15,6,False,1
16,6,False,1
17,6,False,0
18,6,False,0
19,6,False,0
20,6,False,0
21,6,False,0
1,7,False,1
2,7,False,1
3,7,False,1
4,7,False,1
5,7,False,1
6,7,False,1
7,7,False,1
8,7,False,1
9,7,False,1
10,7,False,1
11,7,False,1
12,7,False,1
13,7,False,1
14,7,False,1
15,7,False,1
16,7,False,1
17,7,False,0
18,7,False,0
19,7,False,0
20,7,False,0
21,7,False,0
1,8,False,1
2,8,False,1
3,8,False,1
4,8,False,1
5,8,False,1
6,8,False,1
7,8,False,1
8,8,False,1
9,8,False,1
10,8,False,1
11,8,False,1
12,8,False,1
13,8,False,1
14,8,False,1
15,8,False,1
16,8,False,1
17,8,False,0
18,8,False,0
19,8,False,0
20,8,False,0
21,8,False,0
1,9,False,1
2,9,False,1
3,9,False,1
4,9,False,1
5,9,False,1
6,9,False,1
7,9,False,1
8,9,False,1
9,9,False,1
10,9,False,1
11,9,False,1
12,9,False,1
13,9,False,1
14,9,False,1
15,9,False,1
16,9,False,1
17,9,False,1
18,9,False,0
19,9,False,0
20,9,False,0
21,9,False,0
1,10,False,1
2,10,False,1
3,10,False,1
4,10,False,1
5,10,False,1
6,10,False,1
7,10,False,1
8,10,False,1
9,10,False,1
10,10,False,1
11,10,False,1
12,10,False,1
13,10,False,1
14,10,False,1
15,10,False,1
16,10,False,1
17,10,False,1
18,10,False,0
19,10,False,0
20,10,False,0
21,10,False,0
1,11,False,1
2,11,False,1
3,11,False,1
4,11,False,1
5,11,False,1
6,11,False,1
7,11,False,1
8,11,False,1
9,11,False,1
10,11,False,1
11,11,False,1
12,11,False,1
13,11,False,1
14,11,False,1
15,11,False,1
16,11,False,1
17,11,False,1
18,11,False,0
19,11,False,0
20,11,False,0
21,11,False,0
1,12,False,1
2,12,False,1
3,12,False,1
4,12,False,1
5,12,False,1
6,12,False,1
7,12,False,1
8,12,False,1
9,12,False,1
10,12,False,1
11,12,False,1
12,12,False,1
13,12,False,1
14,12,False,1
15,12,False,1
16,12,False,1
17,12,False,1
18,12,False,1
19,12,False,0
20,12,False,0
21,12,False,0
1,13,False,1
2,13,False,1
3,13,False,1
4,13,False,1
5,13,False,1
6,13,False,1
7,13,False,1
8,13,False,1
9,13,False,1
10,13,False,1
11,13,False,1
12,13,False,1
13,13,False,1
14,13,False,1
15,13,False,1
16,13,False,1
17,13,False,1
18,13,False,1
19,13,False,0
20,13,False,0
21,13,False,0
1,14,False,1
2,14,False,1
3,14,False,1
4,14,False,1
5,14,False,1
6,14,False,1
7,14,False,1
8,14,False,1
9,14,False,1
10,14,False,1
11,14,False,1
12,14,False,1
13,14,False,1
14,14,False,1
15,14,False,1
16,14,False,1
17,14,False,1
18,14,False,1
19,14,False,0
20,14,False,0
21,14,False,0
1,15,False,1
2,15,False,1
3,15,False,1
4,15,False,1
5,15,False,1
6,15,False,1
7,15,False,1
8,15,False,1
9,15,False,1
10,15,False,1
11,15,False,1
12,15,False,1
13,15,False,1
14,15,False,1
15,15,False,1
16,15,False,1
17,15,False,1
18,15,False,1
19,15,False,0
20,15,False,0
21,15,False,0
1,16,False,1
2,16,False,1
3,16,False,1
4,16,False,1
5,16,False,1
6,16,False,1
7,16,False,1
8,16,False,1
9,16,False,1
10,16,False,1
11,16,False,1
12,16,False,1
13,16,False,1
14,16,False,1
15,16,False,1
16,16,False,1
17,16,False,1
18,16,False,1
19,16,False,0
20,16,False,0
21,16,False,0
1,17,False,1
2,17,False,1
3,17,False,1
4,17,False,1
5,17,False,1
6,17,False,1
7,17,False,1
8,17,False,1
9,17,False,1
10,17,False,1
11,17,False,1
12,17,False,1
13,17,False,1
14,17,False,1
15,17,False,1
16,17,False,1
17,17,False,1
18,17,False,1
19,17,False,0
20,17,False,0
21,17,False,0
1,18,False,1
2,18,False,1
3,18,False,1
4,18,False,1
5,18,False,1
6,18,False,1
7,18,False,1
8,18,False,1
9,18,False,1
10,18,False,1
11,18,False,1
12,18,False,1
13,18,False,1
14,18,False,1
15,18,False,1
16,18,False,1
17,18,False,1
18,18,False,1
19,18,False,1
20,18,False,0
21,18,False,0
1,19,False,1
2,19,False,1
3,19,False,1
4,19,False,1
5,19,False,1
6,19,False,1
7,19,False,1
8,19,False,1
9,19,False,1
10,19,False,1
11,19,False,1
12,19,False,1
13,19,False,1
14,19,False,1
15,19,False,1
16,19,False,1
17,19,False,1
18,19,False,1
19,19,False,1
20,19,False,0
21,19,False,0
1,20,False,1
2,20,False,1
3,20,False,1
4,20,False,1
5,20,False,1
6,20,False,1
7,20,False,1
8,20,False,1
9,20,False,1
10,20,False,1
11,20,False,1
12,20,False,1
13,20,False,1
14,20,False,1
15,20,False,1
16,20,False,1
17,20,False,1
18,20,False,1
19,20,False,1
20,20,False,0
21,20,False,0
1,21,False,1
2,21,False,1
3,21,False,1
4,21,False,1
5,21,False,1
6,21,False,1
7,21,False,1
8,21,False,1
9,21,False,1
10,21,False,1
11,21,False,1
12,21,False,1
13,21,False,1
14,21,False,1
15,21,False,1
16,21,False,1
17,21,False,1
18,21,False,1
19,21,False,1
20,21,False,0
21,21,False,0
1,1,True,1
2,1,True,1
3,1,True,1
4,1,True,1
5,1,True,1
6,1,True,1
7,1,True,1
8,1,True,1
9,1,True,1
10,1,True,1
11,1,True,1
12,1,True,1
13,1,True,1
14,1,True,1
15,1,True,1
16,1,True,1
17,1,True,1
18,1,True,1
19,1,True,1
20,1,True,1
21,1,True,1
1,2,True,1
2,2,True,1
3,2,True,1
4,2,True,1
5,2,True,1
6,2,True,1
7,2,True,1
8,2,True,1
9,2,True,1
10,2,True,1
11,2,True,1
12,2,True,1
13,2,True,1
14,2,True,1
15,2,True,1
16,2,True,1
17,2,True,1
18,2,True,1
19,2,True,1
20,2,True,1
21,2,True,1
1,3,True,1
2,3,True,1
3,3,True,1
4,3,True,1
5,3,True,1
6,3,True,1
7,3,True,1
8,3,True,1
9,3,True,1
10,3,True,1
11,3,True,1
12,3,True,1
13,3,True,1
14,3,True,1
15,3,True,1
16,3,True,1
17,3,True,1
18,3,True,1
19,3,True,1
20,3,True,1
21,3,True,1
1,4,True,1
2,4,True,1
3,4,True,1
4,4,True,1
5,4,True,1
6,4,True,1
7,4,True,1
8,4,True,1
9,4,True,1
10,4,True,1
11,4,True,1
12,4,True,1
13,4,True,1
14,4,True,1
15,4,True,1
16,4,True,1
17,4,True,1
18,4,True,1
19,4,True,1
20,4,True,1
21,4,True,1
1,5,True,1
2,5,True,1
3,5,True,1
4,5,True,1
5,5,True,1
6,5,True,1
7,5,True,1
8,5,True,1
9,5,True,1
10,5,True,1
11,5,True,1
12,5,True,1
13,5,True,1
14,5,True,1
15,5,True,1
16,5,True,1
17,5,True,1
18,5,True,1
19,5,True,1
20,5,True,1
21,5,True,1
1,6,True,1
2,6,True,1
3,6,True,1
4,6,True,1
5,6,True,1
6,6,True,1
7,6,True,1
8,6,True,1
9,6,True,1
10,6,True,1
11,6,True,1
12,6,True,1
13,6,True,1
14,6,True,1
15,6,True,1
16,6,True,1
17,6,True,1
18,6,True,1
19,6,True,1
20,6,True,1
21,6,True,1
1,7,True,1
2,7,True,1
3,7,True,1
4,7,True,1
5,7,True,1
6,7,True,1
7,7,True,1
8,7,True,1
9,7,True,1
10,7,True,1
11,7,True,1
12,7,True,1
13,7,True,1
14,7,True,1
15,7,True,1
16,7,True,1
17,7,True,1
18,7,True,1
19,7,True,1
20,7,True,1
21,7,True,1
1,8,True,1
2,8,True,1
3,8,True,1
4,8,True,1
5,8,True,1
6,8,True,1
7,8,True,1
8,8,True,1
9,8,True,1
10,8,True,1
11,8,True,1
12,8,True,1
13,8,True,1
14,8,True,1
15,8,True,1
16,8,True,1
17,8,True,1
18,8,True,1
19,8,True,1
20,8,True,1
21,8,True,1
1,9,True,1
2,9,True,1
3,9,True,1
4,9,True,1
5,9,True,1
6,9,True,1
7,9,True,1
8,9,True,1
9,9,True,1
10,9,True,1
11,9,True,1
12,9,True,1
13,9,True,1
14,9,True,1
15,9,True,1
16,9,True,1
17,9,True,1
18,9,True,1
19,9,True,1
20,9,True,1
21,9,True,1
1,10,True,1
2,10,True,1
3,10,True,1
4,10,True,1
5,10,True,1
6,10,True,1
7,10,True,1
8,10,True,1
9,10,True,1
10,10,True,1
11,10,True,1
12,10,True,1
13,10,True,1
14,10,True,1
15,10,True,1
16,10,True,1
17,10,True,1
18,10,True,1
19,10,True,1
20,10,True,1
21,10,True,1
1,11,True,1
2,11,True,1
3,11,True,1
4,11,True,1
5,11,True,1
6,11,True,1
7,11,True,1
8,11,True,1
9,11,True,1
10,11,True,1
11,11,True,1
12,11,True,1
13,11,True,1
14,11,True,1
15,11,True,1
16,11,True,1
17,11,True,1
18,11,True,1
19,11,True,1
20,11,True,1
21,11,True,1
1,12,True,1
2,12,True,1
3,12,True,1
4,12,True,1
5,12,True,1
6,12,True,1
7,12,True,1
8,12,True,1
9,12,True,1
10,12,True,1
11,12,True,1
12,12,True,1
13,12,True,1
14,12,True,1
15,12,True,1
16,12,True,1
17,12,True,1
18,12,True,1
19,12,True,1
20,12,True,1
21,12,True,1
1,13,True,1
2,13,True,1
3,13,True,1
4,13,True,1
5,13,True,1
6,13,True,1
7,13,True,1
8,13,True,1
9,13,True,1
10,13,True,1
11,13,True,1
12,13,True,1
13,13,True,1
14,13,True,1
15,13,True,1
16,13,True,1
17,13,True,1
18,13,True,1
19,13,True,1
20,13,True,1
21,13,True,1
1,14,True,1
2,14,True,1
3,14,True,1
4,14,True,1
5,14,True,1
6,14,True,1
7,14,True,1
8,14,True,1
9,14,True,1
10,14,True,1
11,14,True,1
12,14,True,1
13,14,True,1
14,14,True,1
15,14,True,1
16,14,True,1
17,14,True,1
18,14,True,1
19,14,True,1
20,14,True,1
21,14,True,1
1,15,True,1
2,15,True,1
3,15,True,1
4,15,True,1
5,15,True,1
6,15,True,1
7,15,True,1
8,15,True,1
9,15,True,1
10,15,True,1
11,15,True,1
12,15,True,1
13,15,True,1
14,15,True,1
15,15,True,1
16,15,True,1
17,15,True,1
18,15,True,1
19,15,True,1
20,15,True,1
21,15,True,1
1,16,True,1
2,16,True,1
3,16,True,1
4,16,True,1
5,16,True,1
6,16,True,1
7,16,True,1
8,16,True,1
9,16,True,1
10,16,True,1
11,16,True,1
12,16,True,1
13,16,True,1
14,16,True,1
15,16,True,1
16,16,True,1
17,16,True,1
18,16,True,1
19,16,True,1
20,16,True,1
21,16,True,1
1,17,True,1
2,17,True,1
3,17,True,1
4,17,True,1
5,17,True,1
6,17,True,1
7,17,True,1
8,17,True,1
9,17,True,1
10,17,True,1
11,17,True,1
12,17,True,1
13,17,True,1
14,17,True,1
15,17,True,1
16,17,True,1
17,17,True,1
18,17,True,1
19,17,True,1
20,17,True,1
21,17,True,1
1,18,True,1
2,18,True,1
3,18,True,1
4,18,True,1
5,18,True,1
6,18,True,1
7,18,True,1
8,18,True,1
9,18,True,1
10,18,True,1
11,18,True,1
12,18,True,1
13,18,True,1
14,18,True,1
15,18,True,1
16,18,True,1
17,18,True,1
18,18,True,1
19,18,True,1
20,18,True,1
21,18,True,1
1,19,True,1
2,19,True,1
3,19,True,1
4,19,True,1
5,19,True,1
6,19,True,1
7,19,True,1
8,19,True,1
9,19,True,1
10,19,True,1
11,19,True,1
12,19,True,1
13,19,True,1
14,19,True,1
15,19,True,1
16,19,True,1
17,19,True,1
18,19,True,1
19,19,True,1
20,19,True,1
21,19,True,1
1,20,True,1
2,20,True,1
3,20,True,1
4,20,True,1
5,20,True,1
6,20,True,1
7,20,True,1
8,20,True,1
9,20,True,1
10,20,True,1
11,20,True,1
12,20,True,1
13,20,True,1
14,20,True,1
15,20,True,1
16,20,True,1
17,20,True,1
18,20,True,1
19,20,True,1
20,20,True,1
21,20,True,1
1,21,True,1
2,21,True,1
3,21,True,1
4,21,True,1
5,21,True,1
6,21,True,1
7,21,True,1
8,21,True,1
9,21,True,1
10,21,True,1
11,21,True,1
12,21,True,1
13,21,True,1
14,21,True,1
15,21,True,1
16,21,True,1
17,21,True,1
18,21,True,1
19,21,True,1
20,21,True,1
21,21,True,1
